[[0.00123942 1.16444241]]
[[9.35446177e-04 1.16305259e+00]]

Initial_Hawk_Frequency,Final_Hawk_Frequency,Evolution_Rounds,Hawk_Extincts,Dove_Extincts,
0.4245131319262194,1.0,2,0,1,
0.9089097963635432,0.9453125,1,0,0,
0.2540333998467075,0.875,2,0,0,
0.75281712127508,0.734375,1,0,0,
0.7974987312930032,0.703125,1,0,0,
0.12871599715413684,0.7421875,2,0,0,
0.9404176771097528,0.921875,1,0,0,
0.17274120574207574,0.890625,2,0,0,
0.04096595078814835,0.96875,3,0,0,
0.2367465514956113,1.0,2,0,1,
0.7760011073396123,0.765625,1,0,0,
0.89553184551482,0.875,1,0,0,
0.5210324345735363,1.0,2,0,1,
0.605241573073323,0.515625,1,0,0,
0.25917581216788976,1.0,2,0,1,
0.9126507836801452,0.859375,1,0,0,
0.5112140414107417,1.0,2,0,1,
0.5453230113399798,1.0,2,0,1,
0.6838151033376326,0.6875,1,0,0,
0.7371195165332285,0.7421875,1,0,0,
0.38262078342276107,1.0,2,0,1,
0.4846123402866791,1.0,2,0,1,
0.1565568333737799,0.90625,2,0,0,
0.527084921514789,1.0,2,0,1,
0.05225813859858974,1.0,3,0,1,
0.22709209346358938,1.0,2,0,1,
0.5610343391570954,1.0,2,0,1,
0.09211812184206858,0.5859375,2,0,0,
0.2069488103753151,0.921875,2,0,0,
0.5900825728883586,1.0,2,0,1,
0.4667924007947518,0.5234375,1,0,0,
0.28708221674144063,1.0,2,0,1,
0.12704016369085602,0.75,2,0,0,
0.18399981312621816,0.921875,2,0,0,
0.6541295038086806,0.625,1,0,0,
0.10061353384642613,1.0,3,0,1,
0.08404681849584472,0.796875,2,0,0,
0.8330314735571054,0.84375,1,0,0,
0.46455755900055495,1.0,2,0,1,
0.23586479770408553,0.96875,2,0,0,
0.8220541705326339,0.8359375,1,0,0,
0.027363746166856884,0.859375,3,0,0,
0.10222128675099262,0.734375,2,0,0,
0.6729201180723006,0.6875,1,0,0,
0.635936794045527,0.6015625,1,0,0,
0.7389275474421307,0.71875,1,0,0,
0.6675647213464989,0.71875,1,0,0,
0.6266613096983497,0.59375,1,0,0,
0.17261390372273844,0.9375,2,0,0,
0.7743590162757977,0.796875,1,0,0,
0.11795752936247506,0.75,2,0,0,
0.47391582866522874,1.0,2,0,1,
0.15133078946803702,0.7734375,2,0,0,
0.40350522580736525,1.0,2,0,1,
0.60350919070848,0.625,1,0,0,
0.8979156997307777,0.875,1,0,0,
0.03848402120375716,1.0,3,0,1,
0.07790646637272092,0.8515625,3,0,0,
0.124985552557635,0.6328125,2,0,0,
0.6400353265937129,1.0,2,0,1,
0.13387764149815584,0.7109375,2,0,0,
0.8965447130412642,0.8828125,1,0,0,
0.0658266664510494,1.0,3,0,1,
0.6454991112181239,0.6953125,1,0,0,
0.9682881622296465,0.9765625,1,0,0,
0.3585799989750049,1.0,2,0,1,
0.4262229019501683,1.0,2,0,1,
0.3174049567678937,1.0,2,0,1,
0.8195437725414007,0.8203125,1,0,0,
0.19550874757580128,0.8984375,2,0,0,
0.9186954202030352,0.8828125,1,0,0,
0.9084895827655579,0.8984375,1,0,0,
0.9198640802993361,0.9375,1,0,0,
0.8465082889588134,0.8046875,1,0,0,
0.43099344638159054,1.0,2,0,1,
0.5809404140037754,1.0,2,0,1,
0.8379768948778286,0.8671875,1,0,0,
0.7243892089217341,0.7421875,1,0,0,
0.4453364530725531,1.0,2,0,1,
0.1899405968591743,0.9765625,2,0,0,
0.36365583397926626,1.0,2,0,1,
0.6675985660820422,0.734375,1,0,0,
0.33503085954271405,0.984375,2,0,0,
0.44635812472428316,1.0,2,0,1,
0.11082683036419017,1.0,3,0,1,
0.346261026582371,1.0,2,0,1,
0.5518756366217656,0.5859375,1,0,0,
0.7671800325768005,0.7109375,1,0,0,
0.307294366737205,1.0,2,0,1,
0.47198988941084963,1.0,2,0,1,
0.7935318255306701,0.8203125,1,0,0,
0.15067428363268442,0.7265625,2,0,0,
0.2326758220043017,0.8046875,2,0,0,
0.16169707301449665,0.859375,2,0,0,
0.48355942832734433,1.0,2,0,1,
0.7461464830825515,0.7734375,1,0,0,
0.19349232492543922,0.8203125,2,0,0,
0.2665207780764731,1.0,2,0,1,
0.15092889914149066,0.859375,2,0,0,
0.9683661334085074,0.953125,1,0,0,
0.8051568321442022,0.875,1,0,0,
0.010700505304106822,0.625,3,0,0,
0.8794570772936484,0.84375,1,0,0,
0.2014787338538423,0.84375,2,0,0,
0.07461394666907062,1.0,3,0,1,
0.6634540903028516,0.640625,1,0,0,
0.35630787611528514,1.0,2,0,1,
0.9534818366041022,0.9375,1,0,0,
0.6267322514415187,0.6328125,1,0,0,
0.8411032739727854,0.8984375,1,0,0,
0.5029312557340768,1.0,2,0,1,
0.5713098933372979,1.0,2,0,1,
0.577421488865107,1.0,2,0,1,
0.4949691516124972,1.0,2,0,1,
0.36501271741284014,1.0,2,0,1,
0.23479836691023026,0.7734375,2,0,0,
0.6425766717387973,0.6640625,1,0,0,
0.7721244393078944,0.8046875,1,0,0,
0.6771831497854449,0.6484375,1,0,0,
0.8384942304584118,0.8828125,1,0,0,
0.2051736103901316,0.921875,2,0,0,
0.05821122375738086,1.0,3,0,1,
0.9036030918127016,0.9453125,1,0,0,
0.10256241904201746,1.0,3,0,1,
0.7716080909496251,0.7421875,1,0,0,
0.10091153391107532,1.0,3,0,1,
0.2698758579795121,1.0,2,0,1,
0.014146540892633896,0.8984375,3,0,0,
