[[0.26190476 0.73809524]]
[[4.18310065e-14 1.00000000e+00]]

Initial_Hawk_Frequency,Final_Hawk_Frequency,Evolution_Rounds,Hawk_Extincts,Dove_Extincts,
0.7515260602259001,0.734375,1,0,0,
0.9097965092296196,0.9140625,1,0,0,
0.9287155404371902,0.9296875,1,0,0,
0.8702100028848324,0.8671875,1,0,0,
0.015101775329494638,0.0078125,16,0,0,
0.8261809119810224,0.8359375,1,0,0,
0.160143038451251,0.1875,16,0,0,
0.22480826606301996,0.2578125,16,0,0,
0.9614929815794542,0.9609375,1,0,0,
0.14767806608931877,0.1015625,16,0,0,
0.7888666765543962,0.75,1,0,0,
0.5901414568254486,0.609375,1,0,0,
0.5527405960215073,0.6015625,1,0,0,
0.9481695672822372,0.953125,1,0,0,
0.1813341394444956,0.15625,16,0,0,
0.16092109957179745,0.140625,16,0,0,
0.39719064008047666,1.0,2,0,1,
0.5858875936521856,0.5859375,1,0,0,
0.0487189033398745,0.0546875,16,0,0,
0.107660994003698,0.109375,16,0,0,
0.057307678356528946,0.0546875,16,0,0,
0.05131367374189344,0.0390625,16,0,0,
0.2327537123591984,1.0,2,0,1,
0.4861910989874977,1.0,2,0,1,
0.08082460909170464,0.1171875,16,0,0,
0.5578682731703186,0.5859375,1,0,0,
0.06319165290824369,0.046875,16,0,0,
0.9559778741656267,0.9765625,1,0,0,
0.398916612411239,1.0,2,0,1,
0.29352726916920857,1.0,2,0,1,
0.018157651850178813,0.015625,16,0,0,
0.2614825346481069,0.21875,16,0,0,
0.856077492681691,0.8359375,1,0,0,
0.2202215985638275,0.1953125,16,0,0,
0.8175266400257158,0.859375,1,0,0,
0.43379129369969993,1.0,2,0,1,
0.3042592182399044,1.0,2,0,1,
0.2879326154871644,0.2578125,16,0,0,
0.8283916401223061,0.8359375,1,0,0,
0.31934346835672345,1.0,2,0,1,
0.8622028016383962,0.828125,1,0,0,
0.4345251398782405,0.53125,1,0,0,
0.18649695984007797,0.1875,16,0,0,
0.11146226935495596,0.1171875,16,0,0,
0.7597011939401654,0.7109375,1,0,0,
0.2758040578119536,0.234375,16,0,0,
0.8253525219867415,0.8203125,1,0,0,
0.16376379170587363,0.1640625,16,0,0,
0.24885535241149281,1.0,2,0,1,
0.5312207992835969,0.5625,1,0,0,
0.6695369773845895,0.734375,1,0,0,
0.6408849536081648,0.6640625,1,0,0,
0.8075794799312448,0.8203125,1,0,0,
0.497198214454164,1.0,2,0,1,
0.5867847489590099,0.6328125,1,0,0,
0.3129090344161446,1.0,2,0,1,
0.3620322587042232,1.0,2,0,1,
0.1575421853066229,0.1171875,16,0,0,
0.08592684449371091,0.0703125,16,0,0,
0.548511232698298,0.59375,1,0,0,
0.34225562309326263,1.0,2,0,1,
0.020387641134497314,0.046875,16,0,0,
0.20171374649838492,0.140625,16,0,0,
0.8347804311765591,0.796875,1,0,0,
0.4660387664450022,1.0,2,0,1,
0.5486785818739647,0.546875,1,0,0,
0.988471900977925,0.9921875,1,0,0,
0.3132445992664584,1.0,2,0,1,
0.9115615336959924,0.953125,1,0,0,
0.4118189583203109,1.0,2,0,1,
0.839003951749622,0.828125,1,0,0,
0.11524360580599946,0.140625,16,0,0,
0.8361114551809193,0.90625,1,0,0,
0.6683730075164406,0.7109375,1,0,0,
0.03225337611212653,0.0390625,16,0,0,
0.4027080871522546,1.0,2,0,1,
0.7233400003067373,0.71875,1,0,0,
0.4517701445464398,1.0,2,0,1,
0.38888443162046094,0.515625,1,0,0,
0.06293114397122868,0.0859375,16,0,0,
0.6397740652088356,0.609375,1,0,0,
0.7428794914305431,0.7421875,1,0,0,
0.8105553010585154,0.890625,1,0,0,
0.190986287598236,0.1640625,16,0,0,
0.2879985704887905,1.0,2,0,1,
0.9176615086960811,0.984375,1,0,0,
0.7312017843284417,0.6953125,1,0,0,
0.6478558455169808,0.609375,1,0,0,
0.7069806338042594,0.7578125,1,0,0,
0.039195996700297386,0.0625,16,0,0,
0.3506027170762377,1.0,2,0,1,
0.7314809304461147,0.796875,1,0,0,
0.2600159331124433,1.0,2,0,1,
0.4144793313703039,1.0,2,0,1,
0.04949194356701514,0.03125,16,0,0,
0.8808191144886313,0.9453125,1,0,0,
0.624470023015282,0.6796875,1,0,0,
0.3757812564388431,1.0,2,0,1,
0.6112731346002713,0.640625,1,0,0,
0.40576126327543827,1.0,2,0,1,
0.11153004488376217,0.109375,16,0,0,
0.9147391769376728,0.9296875,1,0,0,
0.025390731564045477,0.0390625,16,0,0,
0.2863563465315784,1.0,2,0,1,
0.2961953802097894,1.0,2,0,1,
0.4422857964823915,1.0,2,0,1,
0.8660931924702501,0.8203125,1,0,0,
0.4788531715865748,0.515625,1,0,0,
0.44426494865125465,0.5703125,1,0,0,
0.453973772674478,0.4765625,1,0,0,
0.8718858956662959,0.8515625,1,0,0,
0.2229249403170106,0.2109375,16,0,0,
0.4954784513100914,0.4921875,1,0,0,
0.9218842757694021,0.90625,1,0,0,
0.12041918770437043,0.140625,16,0,0,
0.1865675818118494,0.1875,16,0,0,
0.6611699628408039,0.7734375,1,0,0,
0.3367579679761059,1.0,2,0,1,
0.09375940044085596,0.0859375,16,0,0,
0.03146681984174138,0.03125,16,0,0,
0.8472914902688454,0.859375,1,0,0,
0.8385919332012198,0.8203125,1,0,0,
0.4739226238400087,1.0,2,0,1,
0.6533673336746318,0.6640625,1,0,0,
0.4482454988412472,1.0,2,0,1,
0.24192024220282304,0.25,16,0,0,
0.45158914744087253,0.515625,1,0,0,
0.219606014431179,0.2578125,16,0,0,
